FIPS,psych.st,rehab.st,genhosp.lt,psych.lt,rehab.lt,popjuvy.10,poppsych.10,psych.st.days,rehab.st.days,genhosp.lt.days,psych.lt.days,rehab.lt.days,er.visits,suicides.17.19,pop,pop.10,medage.10,percwhite.10,percblack.10,percamind.10,percasian.10,percpi.10,perctwoormore.10,percother.10,percurban.10,medhhincome,personsimpoverished,households.10,singleparenthouseholds.10,perclessthanhs.15,percwithhsormore.15,fouryearscollege.15,skateparks,perchisp.10,impoverishedpc
48223,0,0,0,0,0,12,0,0,0,0,0,0,21288,11,37084,35161,38.8,81.5,7.1,0.6,0.5,0.1,2,8.3,40.4,50332,5370,13308,1349,15.1,84.9,20.1,1,10.2,0.144806386
48225,0,0,0,0,0,109,0,0,0,0,0,0,8400,NA,22968,23732,43.6,67,26,0.4,0.4,0,1.4,4.7,26.5,43601,4230,8656,1018,18.8,81.2,15.2,0,6.2,0.184169279
48227,0,0,0,1,0,0,192,0,0,0,57969,0,29595,12,36664,35012,38.5,74.1,6.2,0.9,0.8,0,2.1,15.9,79.9,61112,5281,11333,1588,20,80,12.6,0,18,0.144037748
48229,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4886,3476,36.5,78.8,1.4,1.1,0.5,0,2.2,16.1,0,39309,1343,1174,146,44.5,55.5,10.7,1,18.2,0.274866967
48231,2,0,0,0,0,27,0,35045,0,0,0,0,64793,13,98594,86129,37.8,81.6,8.3,0.9,1.1,0.2,2.4,5.6,43.4,57513,14114,32076,3481,15.5,84.5,19.9,0,7.9,0.143152727
48233,0,0,0,0,0,0,0,0,0,0,0,0,7201,NA,20938,22150,37.8,85.5,2.5,1.6,0.4,0,2.7,7.1,77.4,57936,2351,8812,928,14,86,14,2,10,0.112283886
48235,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1536,1599,45.1,91.6,0.7,0.4,0.2,0,2.1,5,0,68630,114,653,57,6.8,93.2,15,1,7.1,0.07421875
48237,0,0,0,0,0,0,0,0,0,0,0,0,3076,NA,8935,9044,39.2,87.5,3.8,0.7,0.3,0,1.1,6.6,46.8,55358,1212,3136,265,18,82,13.5,3,7.7,0.135646335
48239,0,0,0,0,0,0,0,0,0,0,0,0,4169,NA,14760,14075,39.4,81.3,7,0.4,0.4,0,2.1,8.8,38.2,55800,1996,5284,525,17.6,82.4,16.5,1,10.9,0.135230352
48241,0,0,0,0,0,0,0,0,0,0,0,0,21996,NA,35529,35710,40.5,77.7,16.7,0.6,0.6,0,1.5,3,21.8,47252,6747,13770,1634,15,85,12.9,0,4.4,0.189901207
